platform,store_id,product_id,canonical_asin,attached_product_ids,product_name,product_url,review_id,review_type,author,title,content,rating,helpful_votes,verified,published_at,collected_at,variant,review_country,tags,size_verdict,theme_ids,ontology_version,analysis_version
amazon,A3UITLIH0G45Q9,B0D3X3Q27Z,B0D3X3Q27Z,B0D3X3Q27Z,"CLOSEMATE Mens Athletic Crew Socks Moisture Wicking Cushioned 6 Pairs | Breathable cotton socks with soft cushioning for running, hiking, boots & outdoor sports",https://www.amazon.com/dp/B0CJ2RJ5CC,R10C90PUSO8A8A,review,Carel Colpa,Like the socks,Well made socks that hold up to everyday wear. Good value for the money.,4,,,2024-12-28T00:00:00Z,2026-08-11T01:44:34Z,,the United States,wear,,1,unsup_v1,v1
amazon,,B0H2DKHXHW,B0H2DKHXHW,B0H2DKHXHW,"CLOSEMATE Mens Running Socks Cushioned Ankle Socks Low Cut Athletic 6 Pairs | Running socks with terry cushioning, breathable, arch support & heel tab for golf,gym & daily wear",https://www.amazon.com/dp/B0GGGYD4BS,R10HN08Y3FNJWL,review,Lacajun,These socks are accurately sized (x-large) and very comfortable.,These socks are very comfortable and do not constrict your feet.,5,,t,2026-03-18T00:00:00Z,2026-08-11T11:45:19Z,size=12-15; color=6 White; number_of_items=6,the United States,,,,unsup_v1,v1
amazon,,B0H2DKHXHW,B0H2DKHXHW,B0H2DKHXHW,"CLOSEMATE Mens Running Socks Cushioned Ankle Socks Low Cut Athletic 6 Pairs | Running socks with terry cushioning, breathable, arch support & heel tab for golf,gym & daily wear",https://www.amazon.com/dp/B0GGGYD4BS,R10HV34T4Q6JZD,review,J. Hertenberger,They launder well,My husband loves them,5,,t,2026-05-28T00:00:00Z,2026-08-11T11:45:19Z,size=9.5-12; color=6 White; number_of_items=6,the United States,,,,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8NJ9JK,B08K8NJ9JK,B08K8NJ9JK,CLOSEMATE Mens No Show Socks Thin Cotton Non Slip High Elasticity 6 Pairs,https://www.amazon.com/dp/B07VC34JNK,R10I96XZNOPP00,review,JohnS,Like the socks but not durable,Love the socks but they only lasted probably 3-4 wears each. Would not buy again due to durability,3,,t,2021-01-04T00:00:00Z,2026-08-26T15:46:40Z,size=7-10; color=2black2white2grey,the United States,wears,,2,unsup_v1,v1
amazon,,B08KT4XC6B,B08KT4XC6B,B08KT4XC6B,"CLOSEMATE Men's Athletic Crew Socks Cushioned Cotton 6 Pairs | Crew Socks with Breathable Moisture Wicking Comfort for Running, Hiking, Boots, Work & Daily Wear",https://www.amazon.com/dp/B08F3DPX69,R10IL2MSRI294T,review,Bella Klein,So comfort,My love them fit so good,5,,t,2026-03-10T00:00:00Z,2026-08-11T01:44:28Z,size=9-12; color=6white,the United States,comfort; fit,,0;1,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8BLQZJ,B08K8BLQZJ,B08K8BLQZJ,CLOSEMATE 7 Pairs Ankle Athletic Running Socks for Men Women - Comfortable Cotton Cushioned and Anti-Blister,https://www.amazon.com/dp/B081QD3SRJ,R10M6AAI5N5L94,review,ant,A little thin,"Fits well, not a bad value a bit thin for my liking. All in all I will repurchase. I'd recommend them.",4,,t,2024-12-07T00:00:00Z,2026-08-11T01:59:17Z,size=12-15; color=7white,the United States,,准确,,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8NJ9JK,B08K8NJ9JK,B08K8NJ9JK,CLOSEMATE Mens No Show Socks Thin Cotton Non Slip High Elasticity 6 Pairs,https://www.amazon.com/dp/B07VC34JNK,R10NM49I4BTBTU,review,Amazon Customer,Will Buy Again,Purchased multiple packs of socks at different times. Will definitely purchase more in the future z,5,,t,2026-04-12T00:00:00Z,2026-08-26T15:46:40Z,size=9-12; color=6black,the United States,,,,unsup_v1,v1
amazon,,B09D745517,B09D745517,B09D745517,"CLOSEMATE 5/10 Pairs Ankle Socks for Men Women Cotton Non Slip Low Cut | Low Cut socks with soft breathable comfort and stretch fit for sneakers,casual shoes,work & daily wear",https://www.amazon.com/dp/B08FX5L8QX,R10OFDFORFIWLN,review,Melissa Gill,To small for what they say size was,Smaller than expected.,3,,t,2025-03-29T00:00:00Z,2026-08-11T09:00:52Z,size=X-Large; color=10white,the United States,size,偏小,0,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0D3X3Q27Z,B0D3X3Q27Z,B0D3X3Q27Z,"CLOSEMATE Mens Athletic Crew Socks Moisture Wicking Cushioned 6 Pairs | Breathable cotton socks with soft cushioning for running, hiking, boots & outdoor sports",https://www.amazon.com/dp/B0CJ2RJ5CC,R10P6V9OYCEA9C,review,Red Green,OK for size 13. Sizes 14 and 15 questionable.,"These fit somewhat tightly on my size 13 feet. Those needing larger socks should look elsewhere. Other than that, they are well-cushioned and warm. They also don't slip and slide on wood floors. For the price and being mostly cotton, they are hard to beat. Except for the sizing issue.",3,1,,2024-09-24T00:00:00Z,2026-08-11T01:44:34Z,size=12-15; color=3 Black 3 White,the United States,fit; size; warm,,1,unsup_v1,v1
amazon,,B09D745517,B09D745517,B09D745517,"CLOSEMATE 5/10 Pairs Ankle Socks for Men Women Cotton Non Slip Low Cut | Low Cut socks with soft breathable comfort and stretch fit for sneakers,casual shoes,work & daily wear",https://www.amazon.com/dp/B08FX5L8QX,R10SMSLQY1K2H7,review,Lynn L. Layman,Excellent value!,Great socks. Excellent price value. It’s especially nice to see my son in fresh white socks again!,5,,t,2026-03-09T00:00:00Z,2026-08-11T09:00:52Z,size=X-Large; color=10white,the United States,price; value,,3,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8NJ9JK,B08K8NJ9JK,B08K8NJ9JK,CLOSEMATE Mens No Show Socks Thin Cotton Non Slip High Elasticity 6 Pairs,https://www.amazon.com/dp/B07VC34JNK,R10TWSV86TX6UU,review,JW,"Wears out fast, you'll get 1-2 months before having holes","The socks are extremely comfortable, no-show, and breathable - but the problem is that they just wear out extremely fast. With just normal use (walking around house, walking in shoes), some of the socks had holes within the first couple times of being worn. Some of the socks lasted longer, but after 1-2 months of normal use, they all had holes. If they can fix the socks to be slightly more durable, they would be perfect. I think they made the socks just a little too thin.",1,1,t,2022-03-03T00:00:00Z,2026-08-26T15:46:40Z,size=9-12; color=6grey,the United States,durable; comfortable; wear; wears,,0;1;2,unsup_v1,v1
amazon,,B0CBTY2V7Q,B0CBTY2V7Q,B0CBTY2V7Q,"CLOSEMATE 6 Pairs Mens Athletic Ankle Socks Cushioned Running Quarter Socks | Cotton socks with breathable mesh, terry cushion & secure fit for sports, sneakers& daily wear",https://www.amazon.com/dp/B0CBMKG56H,R10WIOV4AXLSBG,review,Mike peters,Socks,Really comfortable,5,,t,2026-06-13T00:00:00Z,2026-08-10T11:37:45Z,size=9-12; color=6white,the United States,,,,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8BLQZJ,B08K8BLQZJ,B08K8BLQZJ,CLOSEMATE 7 Pairs Ankle Athletic Running Socks for Men Women - Comfortable Cotton Cushioned and Anti-Blister,https://www.amazon.com/dp/B081QD3SRJ,R11159CBXQ9CUM,review,Joe & Alena Heim,"Not cushioned, mush too thin.",This is the worst purchase I have ever made with Amazon. Not a good product.,1,,t,2025-06-03T00:00:00Z,2026-08-11T01:59:28Z,size=9-12; color=7grey,the United States,,,,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B081QD3SRJ,B08K8BLQZJ,B08K8BLQZJ;B081QD3SRJ,CLOSEMATE 7 Pairs Ankle Athletic Running Socks for Men Women - Comfortable Cotton Cushioned and Anti-Blister,https://www.amazon.com/dp/B081QD3SRJ,R111TOOV8WUFZN,review,MM,Love the fit,I love these because they don't slide down. They are also thick. I wouldn't call these true ankle socks. To me they sit just below or right at the ankle (I'm a size 10.5) but that is the sweet spot for socks that I like. I also have a black pair like these and love them too.,5,,t,2026-05-24T00:00:00Z,2026-08-11T01:59:11Z,size=9-12; color=7white,the United States,size; ankle; fit,,0;1,unsup_v1,v1
amazon,,B0DRFBVJ2H,B0DRFBVJ2H,B0DRFBVJ2H,CLOSEMATE Womens Comfortable Seamless Bras No Underwire V Neck Buttery Soft Push Up Wireless Bralettes for Tshirt,https://www.amazon.com/dp/B0DK79CPXL,R1152MP5GQBG97,review,Jennie,Nice bra,"Fits well, great fabric. The stays on the side took some getting used to but they do the job in keeping the band from riding up, which is what had kept me from wireless bras. I wish they came in some prettier colors!",4,,t,2025-01-31T00:00:00Z,2026-08-12T04:39:32Z,,the United States,,准确,0;3,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8NJ9JK,B08K8NJ9JK,B08K8NJ9JK,CLOSEMATE Mens No Show Socks Thin Cotton Non Slip High Elasticity 6 Pairs,https://www.amazon.com/dp/B07VC34JNK,R115N74QJZ3EPJ,review,john kares,No show,Was the wrong fit very tight,3,,t,2026-05-02T00:00:00Z,2026-08-26T15:46:40Z,size=9-12; color=6white,the United States,tight; fit,偏小,2;3,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0G2XX1W3Q,B0G2XX1W3Q,B0G2XX1W3Q,"CLOSEMATE 6 Pairs Athletic Ankle Socks for Women Soft Cotton Cushioned | Breathable non slip design with soft comfort for running, gym, sneakers & daily wear",https://www.amazon.com/dp/B0F6CPDJLT,R115TJQ183XEHZ,review,Kira's Mom,Soft cushioned soles,"These are heavier weight on the bottoms. They offer a bit of extra cushion, which is really comfortable. They have the support around the arch and ankle. They don't cut into my leg like other ankle high socks so. I wear a U.S. women's size 5 shoes and the size 5-8 fit perfectly. I washed them in cold water and dried them on low heat in the dryer and they have held up well. I normally walk 5-10 miles a day and these have held up well so far.",5,1,,2025-07-07T00:00:00Z,2026-09-02T11:49:56Z,size=5-8; color=6whitegrey,the United States,,准确,,unsup_v1,v1
amazon,,B0CBTY2V7Q,B0CBTY2V7Q,B0CBTY2V7Q,"CLOSEMATE 6 Pairs Mens Athletic Ankle Socks Cushioned Running Quarter Socks | Cotton socks with breathable mesh, terry cushion & secure fit for sports, sneakers& daily wear",https://www.amazon.com/dp/B0CBMKG56H,R117GBGL6RSGXP,review,Amazon Customer,"Tight fit, almost uncomfortable","Runs small in size - unnecessarily tight, Not that desirable",2,,t,2025-11-03T00:00:00Z,2026-08-10T11:37:45Z,size=12-15; color=6black,the United States,tight; fit; size; small,偏小,1;2,unsup_v1,v1
amazon,,B08KT4XC6B,B08KT4XC6B,B08KT4XC6B,"CLOSEMATE Men's Athletic Crew Socks Cushioned Cotton 6 Pairs | Crew Socks with Breathable Moisture Wicking Comfort for Running, Hiking, Boots, Work & Daily Wear",https://www.amazon.com/dp/B08F3DPX69,R117HJRN5XQ04C,review,Dave,Warm,"Warm, a little tight.",4,,t,2025-10-15T00:00:00Z,2026-08-11T01:44:28Z,size=9-12; color=6white,the United States,tight,偏小,1,unsup_v1,v1
amazon,,B0D3X849H9,B0D3X849H9,B0D3X849H9,"CLOSEMATE Mens Thermal Winter Crew Socks for Boots Thick Warm 5 Pairs | Soft cushioned boot socks with cozy comfort for hiking, work &outdoor",https://www.amazon.com/dp/B0CH9V5755,R11CAJV84KU5ME,review,Michael M.,Absolutely not cold weather,Very comfortable and soft. Absolutely not good for cold weather. Work a dock and toes are freezing off possibly literally. Would not recommend for work.,2,1,t,2024-12-23T00:00:00Z,2026-08-11T11:45:25Z,size=12-14; color=5 Black,the United States,comfortable; soft,,2,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0CF53N193,B0CF53N193,B0CF53N193,"CLOSEMATE Mens Ankle Athletic Socks Cushioned Anti-Blister Low cut 6 pairs | Soft combed cotton socks, padded soles & arch support for running daily wear",https://www.amazon.com/dp/B09W34TYZ5,R11IMSJ4W02U5S,review,KK,Closemate,"WELL MADE , FITS GREAT",5,,t,2026-05-17T00:00:00Z,2026-08-11T23:35:35Z,size=9-12; color=6 White,the United States,,准确,,unsup_v1,v1
amazon,,B08KT4XC6B,B08KT4XC6B,B08KT4XC6B,"CLOSEMATE Men's Athletic Crew Socks Cushioned Cotton 6 Pairs | Crew Socks with Breathable Moisture Wicking Comfort for Running, Hiking, Boots, Work & Daily Wear",https://www.amazon.com/dp/B08F3DPX69,R11KM3IFTCO3XH,review,Jennifer hauk,Love em!,These are great quality socks! Feel great and fit great! Excellent value for sure,5,,t,2025-10-23T00:00:00Z,2026-08-11T07:17:58Z,size=12-15; color=6white,the United States,fit,准确,1,unsup_v1,v1
amazon,,B0D5HHHSCW,B0D5HHHSCW,B0D5HHHSCW,"CLOSEMATE Bamboo Viscose Thin Ankle Socks for Men Women Non Slip 6 Pairs | Low Cut Fit, Lightweight & Breathable, Soft & Skin-Friendly for Casual, Work, Commuting",https://www.amazon.com/dp/B0DP24GKL5,R11LDEO4ZZG3MG,review,UJ,"Small and thin, but they stretch to fit","When I first took these socks out of the package, I thought there's no way they're going to fit me. They just look so small, like children's socks. They're stretchy though, and they do fit my 8.5 sized feet. These are my first bamboo fabric socks and I'm not sure if I like them yet. Time will tell, I suppose. The fabric feels somewhat thick when I'm not wearing them, but when stretched over the foot it's actually on the thinner side. In terms of fit, they just cover my ankles, providing less coverage than other ankle socks I own. I don't think these will be my favorite socks in the drawer, but they're inexpensive and serviceable, and might be just what you're looking for.",3,,,2024-10-04T00:00:00Z,2026-08-11T13:07:24Z,,the United States,fit; feet,,2,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8NJ9JK,B08K8NJ9JK,B08K8NJ9JK,CLOSEMATE Mens No Show Socks Thin Cotton Non Slip High Elasticity 6 Pairs,https://www.amazon.com/dp/B07VC34JNK,R11OEP7WVY3Y7,review,Mark Clark,Low Quality,Thin and run small.,2,,t,2024-10-10T00:00:00Z,2026-08-26T15:46:40Z,size=9-12; color=2black2white2grey,the United States,quality; low; low quality; small,偏小,0;3,unsup_v1,v1
amazon,,B09D745517,B09D745517,B09D745517,"CLOSEMATE 5/10 Pairs Ankle Socks for Men Women Cotton Non Slip Low Cut | Low Cut socks with soft breathable comfort and stretch fit for sneakers,casual shoes,work & daily wear",https://www.amazon.com/dp/B08FX5L8QX,R11RFPTSGOWCS6,review,D paden,Comfortable,Great and soft products,5,,t,2025-06-11T00:00:00Z,2026-08-11T09:00:52Z,size=Large; color=5black5white,the United States,comfortable; soft,,1,unsup_v1,v1
amazon,,B0CBTY2V7Q,B0CBTY2V7Q,B0CBTY2V7Q,"CLOSEMATE 6 Pairs Mens Athletic Ankle Socks Cushioned Running Quarter Socks | Cotton socks with breathable mesh, terry cushion & secure fit for sports, sneakers& daily wear",https://www.amazon.com/dp/B0CBMKG56H,R11RKSMD59HPP4,review,Kevin R. Asbra,Casual ankle socks,Perfect fit and comfortable.,4,,t,2024-12-26T00:00:00Z,2026-08-10T11:37:45Z,size=9-12; color=6white-a,the United States,fit; ankle,准确,2;3,unsup_v1,v1
amazon,,B0D9YB29BY,B0D9YB29BY,B0D9YB29BY,"CLOSEMATE Mens Dress Crew Socks 6 Pairs | Soft breathable cotton stretch in classic solid colors for suits, office wear and leather shoes and thoughtful gifting",https://www.amazon.com/dp/B0D9W7MW95,R11RMW0882G9BM,review,Trina Warfield,Comfortable socks,Soft and slightly thicker. That works with my husbands narrow feet. We like them a lot.,5,,t,2025-01-22T00:00:00Z,2026-09-03T10:36:34Z,size=12-15; color=6black; number_of_items=6,the United States,,,1,unsup_v1,v1
amazon,,B08KT4XC6B,B08KT4XC6B,B08KT4XC6B,"CLOSEMATE Men's Athletic Crew Socks Cushioned Cotton 6 Pairs | Crew Socks with Breathable Moisture Wicking Comfort for Running, Hiking, Boots, Work & Daily Wear",https://www.amazon.com/dp/B08F3DPX69,R11T11LHC4810N,review,charles love,Poor quality,Poor quality,2,,t,2024-09-22T00:00:00Z,2026-08-11T01:44:28Z,size=9-12; color=6white,the United States,,,,unsup_v1,v1
amazon,,B0H2DKHXHW,B0H2DKHXHW,B0H2DKHXHW,"CLOSEMATE Mens Running Socks Cushioned Ankle Socks Low Cut Athletic 6 Pairs | Running socks with terry cushioning, breathable, arch support & heel tab for golf,gym & daily wear",https://www.amazon.com/dp/B0GGGYD4BS,R11T7ASNIMOLS0,review,Don W.,Really thin socks,Not the socks for me too thin but seemed like good ones,5,,t,2026-05-17T00:00:00Z,2026-08-11T11:45:19Z,size=9.5-12; color=6 White; number_of_items=6,the United States,,,,unsup_v1,v1
amazon,,B09D745517,B09D745517,B09D745517,"CLOSEMATE 5/10 Pairs Ankle Socks for Men Women Cotton Non Slip Low Cut | Low Cut socks with soft breathable comfort and stretch fit for sneakers,casual shoes,work & daily wear",https://www.amazon.com/dp/B08FX5L8QX,R11TCRJE7HTS4P,review,Captain Rob,good buy,"Very comfortable, good buy",5,,t,2025-05-30T00:00:00Z,2026-08-11T09:00:52Z,size=X-Large; color=10white,the United States,comfortable,,1,unsup_v1,v1
amazon,,B08KT4XC6B,B08KT4XC6B,B08KT4XC6B,"CLOSEMATE Men's Athletic Crew Socks Cushioned Cotton 6 Pairs | Crew Socks with Breathable Moisture Wicking Comfort for Running, Hiking, Boots, Work & Daily Wear",https://www.amazon.com/dp/B08F3DPX69,R11TUOXOV9N1ZZ,review,BETH,Not snug enough,"Although, the length is good, they are loose on my foot and loose at the top of my calf😞",2,,t,2025-09-12T00:00:00Z,2026-08-11T01:44:28Z,size=9-12; color=6white,the United States,foot,,1,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0CF53N193,B0CF53N193,B0CF53N193,"CLOSEMATE Mens Ankle Athletic Socks Cushioned Anti-Blister Low cut 6 pairs | Soft combed cotton socks, padded soles & arch support for running daily wear",https://www.amazon.com/dp/B09W34TYZ5,R11Z29L92LE9MZ,review,Michelle,Very comfortable,Very comfortable.,5,,t,2026-04-06T00:00:00Z,2026-08-11T23:35:35Z,size=9-12; color=6 White,the United States,comfortable,,0,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8BLQZJ,B08K8BLQZJ,B08K8BLQZJ,CLOSEMATE 7 Pairs Ankle Athletic Running Socks for Men Women - Comfortable Cotton Cushioned and Anti-Blister,https://www.amazon.com/dp/B081QD3SRJ,R120NX8DRAG82V,review,Amazon Martin,You should walk a mile in my Socks,"I bought these socks, hoping that they would fit my size 11.5 feet. Not only did they fit, but they fit so comfortably. The socks are comfortable and feel high quality. I for the first time have hope that I will not mysteriously lose some of them in the wash as they cross over to the secret sock narnia when i do laundry. They are all grey so they work with many of my outfits and while i wont win any flashy sock contests, these are dependable, having substance over flash.",5,2,t,2025-02-05T00:00:00Z,2026-08-11T01:59:17Z,size=9-12; color=7grey,the United States,size; comfortable; fit; quality,,0;1;3,unsup_v1,v1
amazon,,B0D5HHHSCW,B0D5HHHSCW,B0D5HHHSCW,"CLOSEMATE Bamboo Viscose Thin Ankle Socks for Men Women Non Slip 6 Pairs | Low Cut Fit, Lightweight & Breathable, Soft & Skin-Friendly for Casual, Work, Commuting",https://www.amazon.com/dp/B0DP24GKL5,R1234SJBS7PTLU,review,jmirg,Thin,"If these socks were any thinner, I would have no sock at all. If you wish protection from the inside of your shoes for walking or hiking, order another brand.",2,,t,2025-06-07T00:00:00Z,2026-08-11T13:07:24Z,size=9-12; color=6plainwhite,the United States,,,,unsup_v1,v1
amazon,,B0H2DKHXHW,B0H2DKHXHW,B0H2DKHXHW,"CLOSEMATE Mens Running Socks Cushioned Ankle Socks Low Cut Athletic 6 Pairs | Running socks with terry cushioning, breathable, arch support & heel tab for golf,gym & daily wear",https://www.amazon.com/dp/B0GGGYD4BS,R126X74L1INZG4,review,VapinGamers,Cushion and Ankle Protection! Worth it.,"These are soooo good even my wife has taken them from me. If you like wearing very low cut socks, these are fantastic. Especially with the extra ankle cushion! The one thing I hate about wearing these kind of socks, these solve. Great support, soft fabric and fit perfectly. Highly recommend.",5,,,2026-04-28T00:00:00Z,2026-08-11T11:45:19Z,size=7-9.5; color=6black; number_of_items=6,the United States,,准确,,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8BLQZJ,B08K8BLQZJ,B08K8BLQZJ,CLOSEMATE 7 Pairs Ankle Athletic Running Socks for Men Women - Comfortable Cotton Cushioned and Anti-Blister,https://www.amazon.com/dp/B081QD3SRJ,R129UC9PKJN8T4,review,Stephen Pitt,Disappointing durability,"While I liked the feel and length of the socks, out of all seven pairs of socks purchased in December of 2024, only a single sock doesn’t have a hole or multiple holes in it as of March 2025. I estimate I’ve probably worn and washed each pair about three times. And I’m no long-distance runner or any other sort of extreme use case—these socks just aren’t built to last even under casual use. Three months of durability is unacceptable.",1,,t,2025-03-27T00:00:00Z,2026-08-11T01:59:28Z,size=9-12; color=7white,the United States,,,0,unsup_v1,v1
